"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
15838,3.40025186666667,19.907062,4.5,11.42,8.1,6.83,1.63,0
15841,3.40099253333333,13.054988,0.89,19.41,-22.28,10.99,0.645,0
15844,3.40179993333333,23.785027,50.54,217.18,-129.17,10.38,1.51,0
15850,3.4028138,12.62959,7.06,25.97,-21.32,6.03,1.227,0
15857,3.4042802,11.860996,3,1.26,-25.96,8.84,2.239,0
15870,3.4072546,20.803489,10.76,2.55,-9.84,6.07,-0.028,0
15872,3.4074996,3.864542,3.05,-15.03,-41.08,9.48,0.377,0
15875,3.40794826666667,6.985016,24.7,-25.72,-30.67,10.28,1.28,0
15882,3.40957846666667,22.040317,7.74,23.14,-18.17,6.91,0.11,0
15894,3.41239926666667,14.973836,7.25,-0.23,-3.88,8.18,0.22,0
15897,3.41285046666667,9.807862,3.65,35.33,-28.07,7.78,1.147,0
15900,3.4135538,9.02887,15.42,-74.25,-80.31,3.61,0.887,0
15904,3.41398933333333,12.256581,12.65,566.89,-493.05,10.76,0.571,0
15906,3.4142854,14.014879,3.47,45.62,1.54,9.68,0.461,0
15908,3.414354,22.278198,4.42,7.66,-16.19,8.92,1.282,0
15918,3.41648553333333,10.010043,5.37,87.46,-10.7,7.96,1.034,0
15922,3.41794346666667,10.976461,8.77,13.24,-16.82,7.29,0.152,0
15923,3.4185744,7.393446,8.82,37.43,-31,9.44,0.554,0
15928,3.41960993333333,12.485374,9.42,33.82,-31.01,7.42,0.277,0
15936,3.4202914,9.691205,3.25,-5.36,-6.29,8.75,1.177,0
15938,3.4203868,4.873626,3.34,-0.76,1.06,10.79,0.5,0
15939,3.4205608,21.214069,2.62,-12.58,-15.49,7.95,1.844,0
15951,3.42316146666667,15.826375,4.26,49.26,-34.16,7.91,1.252,0
15954,3.4233962,17.743809,6.77,57.93,-83.22,8.69,0.667,0
15960,3.42415793333333,8.427144,10.12,27.9,-26.36,9.5,0.537,0
15961,3.42526466666667,17.142616,12.47,197.63,-65.59,9.43,0.7,0
15975,3.42829246666667,13.621355,2.13,7.34,5.89,8.65,1.424,0
15978,3.42896313333333,5.935435,6.68,63.95,-20.06,7.65,0.082,0
15993,3.43371053333333,8.269976,8.2,-0.22,-11.47,9.44,0.55,0
15996,3.43425313333333,20.245565,3.47,-8.03,-9.52,8.54,0.4,0
16003,3.434685,5.535573,4.06,28.29,-14.68,8.78,1.294,0
16007,3.43578253333333,14.290266,0.66,-9.01,-15.5,10.1,0.786,0
16008,3.4357686,12.481788,13.68,-75.75,-32.47,8.46,0.584,0
16050,3.44530613333333,6.659718,5.72,-19.02,-31.76,9.62,0.402,0
16066,3.4489702,3.464541,3.4,22.15,-40.68,8.68,1.026,0
16072,3.44993693333333,23.77665,6.99,262.7,-342.88,10.81,0.544,0
16077,3.45089413333333,18.756554,7.78,35.7,2.41,6.54,0.188,0
16083,3.4528202,9.73268,14.68,53.61,-38.12,3.73,-0.082,0
16095,3.45518826666667,12.735289,9.58,11.44,-7.54,6.29,-0.025,0
16096,3.45585366666667,9.256145,3.83,-2.33,-10.23,9.82,0.551,0
16108,3.45887586666667,5.870437,3.89,9.91,-41.96,7.19,1.266,0
16109,3.45889746666667,19.187133,5.64,-56.75,-67.2,9.17,0.624,0
16116,3.46044306666667,7.750471,8.07,23.74,-7,7.6,0.412,0
16117,3.46058533333333,16.662985,2.74,29.13,1.05,8.08,0.257,0
16119,3.46094806666667,22.897808,2.64,7.86,-32.32,10.97,0.732,0
16120,3.461073,8.765202,4.22,38.22,-34.8,7.8,0.321,0
16122,3.46113926666667,4.989303,8.41,9.15,-24.48,10.6,0.577,0
16132,3.46377466666667,24.182753,3.73,-10.06,-18.49,7.85,1.09,0
16133,3.46422766666667,20.92516,3.9,7.3,-28.79,7.85,1.129,0
16136,3.4653624,18.882333,14.32,13.54,-61.28,8.46,0.568,0
16143,3.46705513333333,20.464261,4.96,2.61,-4.73,6.72,0.471,0
16144,3.46731173333333,22.023077,24.37,341.88,-321.48,11.41,1.411,0
16152,3.46920786666667,17.167525,6.16,35.76,-30.95,8.33,0.384,0
16155,3.46970673333333,4.15209,10.17,50.55,-33.25,8.69,0.533,0
16158,3.47028733333333,7.30222,13.46,-16.44,-83.87,8,0.611,0
16174,3.4729304,22.059076,7.38,12.38,-4.3,8.59,1.054,0
16176,3.47299126666667,16.081299,8.77,3.64,-12.41,11.14,0.716,0
16178,3.47345153333333,5.985873,2.43,5.6,-3.98,9.68,0.569,0
16181,3.47404646666667,22.804006,14.44,0.02,-111.4,6.03,0.951,0
16193,3.47676146666667,11.390529,8.69,-5.43,-32.13,6.74,0.965,0
16201,3.4786206,4.357108,6.59,5.58,-11.46,7.68,0.185,0
16205,3.4800458,20.624079,4.12,7.3,-10.36,7.33,-0.067,0
16219,3.4825276,5.141871,5.27,-4.41,-14.44,9.12,0.523,0
16221,3.48292,14.996787,4.16,21.02,-18.63,7.38,0.036,0
16224,3.48361986666667,11.738502,6.85,-6.73,-0.76,9.45,0.441,0
16241,3.48877426666667,16.198359,8.91,23.32,-39.84,8.33,0.465,0
16246,3.48949266666667,15.232547,7.59,-26.12,-14.24,9.24,0.463,0
16250,3.49035773333333,10.900387,3.6,13.31,-44.04,10.74,0.584,0
16255,3.491162,9.690803,8.74,-18.56,-33.14,10.53,0.744,0
16268,3.4951576,16.762335,4.81,23.87,-16.28,7.05,-0.052,0
16269,3.49592126666667,5.800381,5.14,2.95,-14.47,8.52,0.478,0
16271,3.49642773333333,18.738374,8.65,-8.15,-48.09,9.01,0.47,0
16273,3.49695846666667,13.415006,2.83,4.43,1.48,10.65,0.7,0
16295,3.50148706666667,24.190408,3.42,-5.86,-13.29,8.2,0.399,0
16296,3.50165313333333,11.387526,5.68,10.33,-13,9,0.487,0
16304,3.50321293333333,14.252724,7.74,3.2,-9.94,9.27,0.47,0
16305,3.5035222,24.486857,1.22,-3.5,-2.87,9.51,1.081,0
16314,3.50425766666667,12.901794,6.14,-32.67,-45.33,8.24,1.016,0
16322,3.50679693333333,11.336442,7.82,-11.71,-16.08,5.14,-0.041,0
16325,3.50732546666667,10.458766,2.81,1.94,-21.35,7,1.458,0
16329,3.50845246666667,20.103263,21.61,155.02,-63.38,8.29,0.739,0
16338,3.5101688,11.867425,3.44,0.24,-13.07,9.64,0.464,0
16342,3.51036326666667,8.574756,6.95,24.53,-21.26,9.72,0.608,0
16346,3.5107224,3.916507,4.38,45.49,67.24,9.92,0.469,0
16356,3.51242733333333,5.513077,4.14,5.95,-3.62,7.69,0.201,0
16358,3.51261666666667,6.188703,6.31,42.38,-16.79,5.93,0.953,0
16359,3.51262173333333,14.296161,11.14,34.39,28.18,8.67,0.636,0
16362,3.5130596,5.367028,5.3,80.03,-8.41,7.03,0.95,0
16363,3.51323926666667,5.152625,6.93,-20.02,-16.02,7.34,0.436,0
16369,3.51454953333333,12.936678,9.05,18.94,-1.55,4.14,1.112,0
16372,3.51484393333333,8.368522,3.76,19.4,-5.64,8.49,1.626,0
16374,3.51558346666667,18.799418,10.83,131.32,-70.85,8.12,0.58,0
16380,3.51706813333333,7.198308,2.95,-14.43,-14.85,7.61,1.267,0
16393,3.51841146666667,15.736097,6.5,-3.56,-5.96,10.32,0.563,0
16399,3.51928446666667,13.575851,11.11,4.91,-106.95,8.77,0.504,0
16401,3.520403,19.783518,8.75,35.04,36.64,8,0.483,0
16405,3.52095093333333,20.768072,20.04,-112.36,-196.42,8.08,0.68,0
16414,3.522534,17.938176,2.51,-14.19,-0.05,6.79,1.545,0
16416,3.5234602,17.811329,1.5,14.84,-16.04,8.19,1.259,0
16423,3.52453966666667,21.821909,8.44,24.13,-49.19,8.88,0.391,0
16428,3.52532186666667,22.505805,4.82,-0.58,-8.63,9.49,0.302,0
16440,3.52845366666667,23.649545,9.52,55.49,40.92,8.07,0.476,0
16441,3.528832,18.800125,3.71,-13.74,-11.55,8.16,0.131,0
16445,3.52976053333333,14.321593,41.67,37.91,-674.56,12.26,1.55,0
16464,3.5344572,7.566324,5.35,-13.35,-10.79,7.66,0.937,0
16469,3.5350616,16.728003,8.08,30.96,-69.91,8.6,0.512,0
16478,3.5366506,11.542426,6.23,31.18,-40.99,6.79,0.035,0
16479,3.536678,3.876859,13.59,46.33,-79.44,8.3,0.418,0
16488,3.5387026,4.650128,8.36,134.47,-49.81,9.61,0.682,0
16497,3.5404534,12.363486,6.65,21.21,-7.88,8.33,0.334,0
16504,3.540875,10.738183,10.21,64.49,67.21,8.51,0.531,0
16505,3.5408792,20.175484,3.52,-6.53,-15.99,8.42,1.672,0
16511,3.5433192,9.373438,9.18,32.55,-49.15,5.76,-0.072,0
16512,3.5435328,17.26897,3.17,3.44,-43.37,9.8,0.446,0
16529,3.54724393333333,23.692185,22.78,160.99,-40.55,8.88,0.844,0
16530,3.54752146666667,5.254597,5.62,27.41,-26.49,7.33,0.965,0
16532,3.5482338,15.549809,10.98,28.1,58.45,8.52,0.2,0
16534,3.54864846666667,12.974552,1.06,7.97,-19.27,10.16,0.405,0
16538,3.5493148,16.598428,18.16,-22.39,-96.1,7.03,0.503,0
16541,3.55004086666667,6.643017,8.26,27.07,-7.65,10.1,0.701,0
16548,3.55147353333333,4.958113,17.2,121.87,20.31,11.88,1.378,0
16551,3.5521412,19.383256,5.57,18.01,-30.95,8.07,0.081,0
16560,3.55368606666667,7.452864,29.74,-65.97,-70.07,11.17,1.371,0
16568,3.55552626666667,15.536956,6.74,28.98,-20.59,9.1,0.523,0
16569,3.55555426666667,3.440254,0.72,13.95,0.34,10.66,0.164,0
16571,3.55587553333333,15.197997,3.13,-9.41,-17.5,9.81,0.465,0
16572,3.555887,13.782416,9.05,-9.89,-19.84,6.9,1.06,0
16593,3.55997733333333,14.678491,1.14,-1.07,-2.11,7.6,1.87,0
16598,3.56082213333333,17.329255,5.51,2.67,-23.71,8.49,0.577,0
16604,3.56224953333333,9.684103,2.75,-19.6,5.93,8.5,1.601,0
16606,3.56244573333333,6.926006,4.29,-7.86,-5.15,7.16,0.906,0
16609,3.5629118,8.29057,5.61,24.95,-25.99,8.74,0.33,0
16613,3.56346953333333,18.227789,7.17,55.07,-1.94,7.99,1.062,0
16615,3.56359546666667,10.233787,1.17,11.21,-13.68,8.7,1.879,0
16618,3.56369206666667,21.019581,0.43,6.72,-10.62,10.28,1.551,0
16627,3.56565266666667,15.625605,6.06,25.96,-36.55,9.57,0.552,0
16639,3.56869706666667,24.344449,8.11,19.64,-43.71,9.54,0.51,0
16641,3.56899413333333,17.832828,23.57,95.5,-310.56,6.14,0.891,0
16643,3.56909793333333,21.728971,6.33,-1.96,-10.13,9.22,0.347,0
16651,3.5704548,3.432278,5.86,-3.12,-35.62,7.51,1.133,0
16659,3.5722796,23.150105,4.22,-4.17,-8.2,9.76,1.15,0
16660,3.57271986666667,8.662433,4.14,4.78,-4.7,8.91,0.482,0
16662,3.57370186666667,20.374099,2.12,5.58,-7.64,8.14,1.731,0
16663,3.57403686666667,6.038027,13.89,-15.18,-17.02,10.95,1.15,0
16664,3.57406246666667,24.464393,6.28,2.7,-33.96,5.95,0.123,0
16668,3.57508346666667,22.759424,4.83,15.96,-15.7,8.22,1.249,0
16671,3.5759374,14.175846,7.34,-46.86,15.02,8.79,0.615,0
16674,3.57637266666667,18.873872,7.98,22.7,-35.39,9.24,0.71,0
16689,3.5785708,6.843291,9.24,18.57,-50.69,9.58,0.681,0
16695,3.5803004,6.417691,7.43,-23.43,-17.03,6.49,0.642,0
16701,3.58237153333333,19.810139,1.71,24.46,-19.08,8.7,1.744,0
16703,3.5826234,21.01763,2.68,4.02,-12.06,8.6,1.429,0
16706,3.5829292,17.710568,2.54,67.34,-41.49,9.85,0.7,0
16707,3.58291506666667,19.312783,5.25,32.75,-24.2,9.18,0.434,0
16715,3.58429353333333,11.04584,6.67,-16.26,-11.46,7.99,0.561,0
16723,3.586155,5.714012,16.71,7.55,-34.75,7.48,0.515,0
16737,3.58843653333333,18.903079,2.26,5.9,-41.23,7.57,1.73,0
16738,3.58868733333333,11.396758,7.61,176.85,0.25,8.29,0.575,0
16739,3.58866913333333,5.725289,16.1,8.07,-37.04,12.16,1.288,0
16748,3.59114066666667,14.174846,11.04,-39.08,-78.47,9.87,0.58,0
16753,3.59213766666667,22.823588,9.98,23.92,-44.12,9.86,0.54,0
16760,3.594157,12.039623,17.14,67.64,-340.47,10.49,0.93,0
16778,3.59875393333333,9.565932,2.5,-6.97,-49.13,11.4,1.106,0
16784,3.59999653333333,23.914125,3.8,3.64,-6.84,9.02,1.337,0
16786,3.6000954,8.760196,22.94,25.99,23.86,12.45,1.444,0
16788,3.60088266666667,16.467408,22.25,-284.52,-276.33,7.65,0.58,0
16796,3.60325433333333,8.886457,4.51,11.43,-9.16,7.6,1.453,0
16802,3.60463106666667,17.81207,5.41,7.43,-4.2,8.6,0.321,0
16808,3.605963,19.559316,5.68,9.77,-26.1,8.36,0.274,0
16811,3.60645586666667,18.36199,3.15,20.6,0.92,8.73,1.088,0
16813,3.606762,20.067612,10.69,95.66,-50.3,7.47,0.502,0
16822,3.60759226666667,12.007195,4.35,2.1,-49.01,8.41,1.19,0
16824,3.60800193333333,23.797292,15.66,53,-103.72,8.62,0.669,0
16828,3.6083992,21.780203,2.79,-0.62,6.01,8.89,1.054,0
16830,3.60856566666667,10.185406,5.92,-14.95,-29.57,9.26,0.577,0
16831,3.60860286666667,16.678285,3.98,-3.76,-24.09,9.47,0.343,0
16838,3.61193973333333,12.474373,2.88,3.48,-13.72,8.93,1.814,0
16841,3.6124746,13.291833,2.45,5.97,-9.93,8.45,0.393,0
16845,3.61306566666667,4.474364,2.51,19.73,-4.53,8.75,0.402,0
16859,3.616118,23.211069,7.46,-15.42,-18.36,6.72,0.123,0
16865,3.61735486666667,15.822426,0.17,-5.19,6.31,10.11,1.19,0
16891,3.62241246666667,15.095407,14.67,-20.8,-61.89,8.24,0.534,0
16896,3.62296913333333,18.596885,11.73,142.33,-4.15,8.73,0.518,0
16908,3.62638166666667,21.343174,25.23,141.55,-27.39,9.35,0.917,0
16909,3.62648666666667,6.380324,1.87,-0.24,-5.78,10.05,1.348,0
16918,3.62910633333333,7.27178,4.03,17.17,-8.37,9.16,0.436,0
16924,3.62995333333333,15.430552,13.52,22.43,-29.51,6.4,0.167,0
16925,3.63052746666667,4.145467,4.22,18.6,14.8,7.22,0.368,0
16930,3.63124066666667,5.64132,15.37,-30.72,16.99,7.78,0.574,0
16934,3.6319362,9.932835,2.22,21.02,-20.45,7.92,1.815,0
16944,3.63418226666667,18.480995,6.73,-26.25,-1.09,9.91,0.5,0
16950,3.63468893333333,20.233853,6.62,68.27,-45.28,9.45,0.756,0
16961,3.63637146666667,19.360414,8.17,20.4,-18.02,7.72,0.384,0
16979,3.63960513333333,22.499683,5.86,20.33,-43.05,10.09,0.634,0
16985,3.64065946666667,15.149635,6.85,3.65,-57.55,7.35,1.164,0
16991,3.64221046666667,13.605963,13.11,-80.83,-84.18,8.93,0.575,0
17000,3.64464453333333,22.659612,7.88,19.34,-45.29,6.71,-0.001,0
17009,3.6469626,20.392446,4.12,-1.64,-15.24,9.34,0.479,0
17021,3.64925946666667,4.767373,6.32,9.44,-4.78,9.88,0.363,0
17026,3.65001666666667,20.915765,6.6,-4.67,-34.27,6.5,0.151,0
17031,3.65119946666667,13.682969,5.04,43.62,3.42,9.27,0.541,0
17032,3.65123806666667,9.652843,16.71,8.72,-31.46,9.07,0.7,0
17038,3.65226973333333,9.143687,5.66,14.46,-35.76,7.76,0.194,0
17040,3.65301733333333,11.08996,0.41,15.58,-4.69,10.37,0.79,0
17043,3.6536674,21.843252,7.78,21.89,-41.6,7.27,0.068,0
17044,3.65374253333333,24.466521,8.85,20.2,-45.09,10.4,0.616,0
17049,3.654737,13.891495,14.68,12.57,-99.41,6.67,0.92,0
17058,3.6571534,16.536685,8.09,40.42,-33.28,6.18,1,0
17059,3.65726093333333,9.065168,7.38,56.58,-2.1,8.79,0.529,0
17065,3.65789,12.815187,6.8,15.1,-9.04,9.67,0.565,0
17066,3.65793633333333,6.736597,6.2,68.78,-2.92,9.3,0.823,0
17068,3.6582424,14.482431,4.67,-3.11,-34.25,9.9,1.245,0
17070,3.65851726666667,3.792797,0.97,10.06,9.87,9.86,0.527,0
17076,3.6593328,18.384913,27.18,188.2,-193.16,8.24,0.81,0
17084,3.66045986666667,12.654721,1.94,23.48,-11.2,10.02,0.456,0
17091,3.66143786666667,23.290875,9.97,23.15,-46.14,9.94,0.608,0
17121,3.66675233333333,16.36019,4.64,-11.21,-0.87,8.37,0.136,0
17128,3.6686646,4.630341,2.47,132.5,2.18,10.04,0.643,0
17133,3.6694334,13.19873,6.72,23.96,-27.05,10.08,0.693,0
17141,3.67089986666667,8.081384,1.05,-1.35,1.09,8.72,1.386,0
17142,3.67102166666667,7.585276,9.52,-58.78,-42.32,7.45,0.309,0
17148,3.6726564,21.40574,11.88,-31.62,6.78,7.16,0.311,0
17149,3.67271106666667,11.731671,7.55,46.21,40.97,9.48,0.771,0
17155,3.6744562,5.125872,3.34,7.62,-8.9,6.61,1.306,0
17158,3.674854,5.129949,0.98,-58.59,11.95,9.73,0.58,0
17174,3.67805506666667,18.100595,13.23,-83.83,-64.7,9.19,0.737,0
17185,3.68035513333333,6.104565,8.87,12.53,-1.22,12.27,0.683,0
17206,3.686072,4.185805,0.41,3.19,-2.23,8.45,1.069,0
17207,3.6862562,3.611378,39.87,-41.66,-236.97,9.61,1.36,0
17215,3.6873584,10.657284,7.66,7.38,-2.81,10.23,0.559,0
17225,3.68971333333333,23.486938,9.21,22.49,-44.32,9.17,0.437,0
17232,3.69050533333333,14.888624,8.99,13,-7.57,9.66,0.489,0
17234,3.690652,19.388583,4.39,-10.21,-5.33,8.09,0.148,0
17235,3.69118793333333,12.607919,15.26,45.86,-79.67,8.1,0.526,0
17238,3.69156913333333,13.523372,10.51,23,-92.82,9.21,0.635,0
17240,3.6922558,10.081773,6.29,-15.23,-19.59,7.25,1.228,0
17244,3.69310686666667,9.330375,4.74,25.89,-8.68,10.84,0.575,0
17259,3.6969624,7.317997,4.79,-6.84,-11.97,8.18,0.761,0
17281,3.70045753333333,14.922172,6.1,-2.26,-2.94,9.47,0.615,0
17282,3.70052353333333,18.205709,3.92,-4.24,-2.13,10.17,0.789,0
17289,3.70131186666667,22.858564,7.29,19.7,-41.66,9.17,0.463,0
17300,3.70343393333333,14.792905,4.19,23.52,26.06,8.23,1.73,0
17301,3.703521,10.739793,4.66,11.78,-40.39,10.74,0.584,0
17305,3.704422,22.786456,18.79,21.57,-75.5,7.4,0.428,0
17309,3.70526346666667,19.700254,7.97,5.82,-13.24,5.68,-0.016,0
17312,3.70573113333333,7.552168,4.31,1.45,-1.84,7.71,1.117,0
17316,3.7066658,21.473491,6.28,24.13,-47.88,9.85,0.55,0
17317,3.7066734,22.421138,6.66,19.29,-44.43,10.4,0.7,0
17318,3.7071494,15.815328,5.84,15.07,-21.2,9.32,0.283,0
17325,3.7082968,20.14999,8.53,19.99,-45.06,8.42,0.329,0
17330,3.70958266666667,4.139647,7.29,-19.08,9.19,9.68,0.458,0
17332,3.70974133333333,6.986693,12.62,178.93,-99.71,10.9,0.9,0
17336,3.7102456,17.293495,38.75,-128.77,28.38,7.07,0.659,0
17337,3.71034846666667,8.634604,7.07,-29.76,-28.75,7.05,0.273,0
17340,3.7114324,21.281657,8.02,2.54,4.07,7.91,0.624,0
17348,3.7127536,7.902952,8.62,32.79,-18.25,7.74,-0.2,0
17353,3.71435073333333,4.122415,4.22,-22.11,-7.91,8.44,0.402,0
17354,3.71447213333333,11.960406,8.68,-16.71,1.3,8.48,0.442,0
17379,3.72169553333333,12.793943,2.71,4.84,-12.41,9.11,1.541,0
17380,3.72185073333333,8.508244,3.17,9.63,6.52,9.66,0.503,0
17401,3.72820413333333,23.64915,9.48,20.36,-45.1,7.93,0.347,0
17405,3.72923586666667,16.667261,61.4,158.99,-313.21,10.83,1.47,0
17408,3.72978146666667,19.665032,9.39,115.75,-56.56,6.13,0.994,0
17413,3.7312162,16.022059,7.58,21.45,-85.86,8.58,0.441,0
17414,3.73126733333333,16.67202,58.09,155.18,-319.87,9.99,1.42,0
17421,3.7324224,18.896135,8.07,15.34,-22.13,9.9,0.606,0
17426,3.73335526666667,14.620438,8.06,9.32,-25.45,8.61,0.57,0
17435,3.73497506666667,5.055562,4.2,60.03,6.73,9.34,0.384,0
17444,3.7371764,9.696823,1.31,3.67,-8.7,9.38,1,0
17453,3.74116766666667,20.928737,13.39,26.61,-13.8,6.09,0.028,0
17466,3.74287606666667,17.747344,4.26,-13.51,-19.83,9.23,0.396,0
17469,3.74329206666667,11.137678,7.19,14.41,8.64,8.66,0.519,0
17472,3.744322,10.177943,20.41,170.32,-231.35,8.62,0.66,0
17480,3.74551893333333,13.989451,6.03,21.84,-15.98,9.81,0.634,0
17481,3.74579253333333,20.748003,10.1,16.68,-44.35,8.7,0.394,0
17489,3.74672653333333,24.28947,9.75,20.73,-44,5.45,-0.034,0
17496,3.74753506666667,11.92,45.87,315.63,126.16,9.13,1.179,0
17497,3.7475658,23.268923,9.76,22.71,-43.67,8.98,0.403,0
17499,3.747927,24.113339,8.8,21.55,-44.92,3.72,-0.105,0
17502,3.7480088,9.30738,4.22,9.05,-10.1,10.56,0.464,0
17503,3.74805846666667,19.830622,6.92,21.06,-15.44,8.47,0.574,0
17505,3.74891206666667,14.640021,6.71,30.64,-4.73,10.69,0.565,0
17511,3.7497006,22.032454,10,18.31,-42.76,9.49,0.489,0
17512,3.7497034,8.319569,8.9,30.87,-26.02,9.1,0.4,0
17520,3.75076966666667,6.636656,4.81,0.06,10.68,8.16,0.202,0
17531,3.75347066666667,24.467278,8.75,19.35,-41.63,4.3,-0.11,0
17537,3.75487473333333,4.437933,2,27.95,22.61,8.1,1.255,0
17552,3.75888533333333,21.246693,11.21,19.02,-47.65,7.75,0.179,0
17557,3.76000026666667,13.247394,5.01,-7.59,-5.8,10.1,0.736,0
17563,3.761234,6.049991,5.54,20.61,-15.61,5.34,-0.099,0
17572,3.76355986666667,23.147149,9.68,21.06,-44.49,6.85,0.06,0
17573,3.7637796,24.367749,9.06,21.09,-45.03,3.87,-0.063,0
17581,3.76597253333333,6.364146,4.03,22.89,-1.16,9.94,0.661,0
17586,3.7669456,18.566705,4.65,-1.52,-14.64,9.16,0.28,0
17589,3.7679966,21.998472,13.58,-125.75,-139.38,9.46,0.676,0
17591,3.7684086,10.548832,6.5,-11.06,11.06,7.59,1.059,0
17595,3.76926746666667,6.803521,9.68,-1.82,-55.42,5.91,0.992,0
17605,3.77114486666667,7.692611,6.63,102.05,-70.69,10.09,0.68,0
17607,3.77203786666667,20.879788,4.16,14.07,-42.94,11.54,0.843,0
17608,3.77210386666667,23.948358,9.08,21.17,-42.67,4.14,-0.051,0
17610,3.77237466666667,16.374132,8.23,34.69,1.63,8.09,0.359,0
17614,3.7737552,17.917693,2.03,13.76,-25.77,9.87,0.657,0
17617,3.7739594,13.5091,6.11,24.62,-27.24,6.88,0.069,0
17643,3.78048566666667,11.184102,5.99,97.51,-55.94,8.27,1.072,0
17645,3.780507,4.880816,2.87,4.57,4.5,8.55,0.186,0
17657,3.78210446666667,18.283961,5.41,6.1,-15.48,8.94,0.485,0
17658,3.78224413333333,9.530385,7.65,-17.79,-20.92,7.98,0.228,0
17668,3.78382606666667,8.664748,8.85,5.53,-26.3,10.89,0.591,0
17670,3.78432686666667,8.954889,8.5,-32.56,26.93,7.12,1.204,0
17677,3.78709106666667,5.439932,5.28,23.52,-18.89,9.43,0.457,0
17680,3.78779833333333,6.119208,4.31,38.69,-29.64,9.32,0.557,0
17684,3.78809513333333,23.726751,16.1,-34.04,-25.39,6.98,0.542,0
17692,3.78915806666667,23.803347,8.35,19.78,-43.97,6.99,0.03,0
17694,3.78969366666667,22.922122,9.87,19.74,-45.2,8.17,0.255,0
17696,3.78979293333333,12.449997,6.56,-15.24,-14.4,9.59,0.587,0
17697,3.79020506666667,12.508232,5.54,11.29,-20.61,8.39,1.229,0
17702,3.79141013333333,24.105137,8.87,19.35,-43.11,2.85,-0.086,0
17704,3.7915148,24.288344,9.05,17.84,-44.94,6.83,0.066,0
17708,3.79285053333333,16.705925,1.29,1.28,2.98,8.44,1.2,0
17714,3.79397206666667,14.086887,10.08,22.67,-3.62,8.84,0.483,0
17722,3.79527586666667,10.500686,16.06,39.93,-43.88,9.46,0.681,0
17726,3.79566873333333,14.360152,4.46,17.67,0.23,8.74,1.194,0
17740,3.79917773333333,18.663354,0.86,1.12,-16.92,9.31,0.591,0
17746,3.80008666666667,16.962506,7.46,67.95,-17.66,7.98,0.406,0
17752,3.8005706,7.12964,5.1,19.4,-1.58,7.87,1.083,0
17762,3.80259706666667,10.172664,5.31,39.17,16.74,9.3,0.558,0
17763,3.80294166666667,21.329068,11.94,-6.77,-13.96,7.97,0.231,0
17766,3.803295,7.14624,24.02,173.16,4.87,10.85,1.34,0
17771,3.80451913333333,11.143294,5.77,28.25,-29.82,5.08,-0.125,0
17776,3.80578233333333,23.42125,9.64,19.14,-46.8,5.44,-0.067,0
17778,3.806094,10.793061,7.09,-19.21,-118.44,7.93,0.765,0
17779,3.8062202,8.580379,7.65,92.26,-17.14,7.4,1.107,0
17791,3.8083598,24.345524,6.9,17.7,-43.2,6.96,0.128,0
17792,3.80854653333333,9.645948,4.61,72.36,10.28,6.68,1.2,0
17794,3.80914893333333,15.201997,28.41,95.08,-89.59,9.45,1.08,0
17803,3.8107956,21.056622,14.91,105.89,-179.26,10.56,1.11,0
17804,3.8108036,15.505355,5.1,-8.41,-10.09,8.17,0.22,0
17817,3.81267226666667,6.300718,2.03,0.68,-25.77,10.88,1.325,0
17826,3.81432346666667,11.708798,6.97,-12.69,-6.29,8.2,0.4,0
17828,3.81519726666667,22.799207,5.27,6.48,-5.79,8.12,0.05,0
17830,3.8156094,16.459486,14.94,-47.38,-103.84,7.22,0.432,0
17832,3.81581693333333,23.857135,13.44,46.92,-56.45,6.47,0.377,0
17836,3.81613353333333,14.975641,0.56,8.6,-27.04,8.51,0.689,0
17837,3.81672253333333,21.342187,10.02,-11.79,0.59,8.11,0.528,0
17847,3.81937293333333,24.053415,8.57,17.77,-44.7,3.62,-0.07,0
17851,3.81978226666667,24.136712,8.42,18.71,-46.74,5.05,-0.082,0
17862,3.82270826666667,24.380956,8.02,18.34,-44.53,6.62,-0.027,0
17864,3.8231438,15.074952,1.93,-0.23,-8.48,9.06,1.082,0
17873,3.82416806666667,11.144368,8.73,-24.87,-33.31,7.64,0.729,0
17876,3.82431706666667,12.908965,0.03,-39.25,50.04,10.74,0.765,0
17878,3.82438046666667,12.912177,11.3,-34.22,42.34,9.64,0.682,0
17883,3.8251782,8.467016,2.95,-0.08,-10.77,8.27,1.061,0
17892,3.8272722,22.533483,10.12,17.8,-45,7.01,0.033,0
17899,3.82857993333333,10.5592,6.21,-8.61,-7.3,7.52,0.921,0
17900,3.8287584,23.711855,8.58,16.5,-44.53,6.17,-0.046,0
17904,3.828952,11.446532,3.86,10.91,-2.39,8.07,1.273,0
17907,3.82958173333333,9.407495,6.84,25.82,-24.4,6.77,-0.026,0
17908,3.82977293333333,9.87793,5.51,13.06,-44.31,7.8,1.31,0
17909,3.8298496,21.160041,2.71,13.83,-16.12,8.48,1.713,0
17916,3.8312782,4.091464,9.73,-128.56,-25.79,9.87,0.658,0
17920,3.83191086666667,19.56635,3.47,-8.66,-18.68,8.62,1.03,0
17921,3.83196473333333,22.244151,10.14,23.88,-45.9,6.05,-0.006,0
17923,3.83279306666667,23.848696,6.3,18.74,-44.35,6.73,0.063,0
