"HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B-V","miembro"
14037,3.0127978,12.984818,4.58,27.08,-10.71,8.53,1.348,0
14039,3.0136406,10.244312,3.33,11.29,-3.44,7.69,1.367,0
14048,3.01485053333333,15.03117,13.98,-74.85,-74.23,7.31,0.553,0
14054,3.0160512,5.287937,11.69,189.55,-95.1,8.16,0.914,0
14062,3.0197086,19.402775,7.23,12.38,-27.72,8.44,0.513,0
14069,3.0214728,14.982244,4.22,39.08,-50.73,7.78,0.656,0
14071,3.02189773333333,4.996266,1.71,21.64,-24.26,10.93,0.579,0
14075,3.02296866666667,6.249124,15.17,36.3,-89.8,8.82,0.741,0
14089,3.0279438,16.315441,0.69,22.32,-18.98,8.58,1.08,0
14096,3.03051953333333,8.153739,1.22,9.25,-9.37,9.23,1.512,0
14098,3.03071966666667,16.518033,12.33,183.55,-59.25,8.24,0.504,0
14104,3.03119533333333,5.336152,6.62,43.23,19.71,6.24,1.041,0
14111,3.03231306666667,13.239347,6.78,83.96,-40.09,9.37,0.427,0
14126,3.03630393333333,7.855835,5.95,28.85,-3.35,10.01,0.51,0
14129,3.03710713333333,23.427728,8.22,7.11,-6.7,8.51,0.175,0
14132,3.03766073333333,18.329183,11.94,114.8,-62.11,9.6,0.655,0
14135,3.03799226666667,4.089734,14.82,-11.81,-78.76,2.54,1.63,0
14140,3.03881,19.085489,5.85,1.44,-7.03,9.88,1.115,0
14141,3.03890373333333,18.443766,3.81,11.21,-8.07,9.35,1.213,0
14143,3.03958833333333,4.352884,7.32,16.7,5.64,5.62,-0.107,0
14152,3.0409468,22.373501,13.81,101.08,-31.7,7.92,0.506,0
14169,3.04512486666667,7.066737,4.57,2.05,2.71,9.91,0.477,0
14172,3.04571086666667,11.012724,4.8,-4.13,-9.46,8.1,0.529,0
14174,3.04614793333333,3.630705,6.64,47.39,6.96,9.26,0.611,0
14175,3.04626686666667,12.354023,19.33,196.19,14.14,10.21,1.382,0
14176,3.04684613333333,8.471845,6.07,7.81,-28.63,8.2,1.422,0
14183,3.04821213333333,17.565564,4.53,2.64,-8.11,8.97,0.45,0
14201,3.0523248,19.801416,4.18,18.26,-9.84,9.02,0.407,0
